age;race;marital-status;education;occupation;salary-class
60;Asian-Pac-Islander;Married-civ-spouse;HS-grad;Craft-repair;<=50K
50;White;Divorced;Assoc-acdm;Sales;<=50K
38;White;Married-civ-spouse;Bachelors;Sales;<=50K
45;White;Married-civ-spouse;Bachelors;Prof-specialty;<=50K
25;White;Never-married;10th;Craft-repair;<=50K
31;White;Married-civ-spouse;Some-college;Handlers-cleaners;<=50K
90;Black;Never-married;HS-grad;Other-service;<=50K
54;Black;Married-civ-spouse;HS-grad;Adm-clerical;<=50K
53;White;Never-married;Preschool;Machine-op-inspct;<=50K
18;White;Never-married;HS-grad;Sales;<=50K
66;White;Married-civ-spouse;HS-grad;Farming-fishing;<=50K
75;White;Widowed;Assoc-voc;Adm-clerical;<=50K
65;White;Divorced;HS-grad;Adm-clerical;<=50K
35;Black;Separated;11th;Transport-moving;<=50K
41;Black;Divorced;HS-grad;Sales;<=50K
25;White;Never-married;Some-college;Adm-clerical;<=50K
33;Other;Divorced;Some-college;Craft-repair;<=50K
59;White;Married-civ-spouse;HS-grad;Other-service;<=50K
40;White;Never-married;Some-college;Adm-clerical;<=50K
23;White;Never-married;HS-grad;Transport-moving;<=50K
41;White;Married-civ-spouse;HS-grad;Other-service;<=50K
24;White;Married-civ-spouse;Assoc-acdm;Protective-serv;<=50K
38;White;Divorced;Some-college;Craft-repair;<=50K
32;White;Never-married;HS-grad;Other-service;<=50K
42;Black;Married-civ-spouse;Bachelors;Adm-clerical;<=50K
59;Black;Widowed;10th;Other-service;<=50K
19;White;Never-married;Some-college;Adm-clerical;<=50K
58;White;Never-married;Some-college;Transport-moving;<=50K
20;White;Never-married;HS-grad;Other-service;<=50K
32;White;Separated;HS-grad;Other-service;<=50K
45;White;Widowed;Assoc-voc;Exec-managerial;<=50K
50;White;Divorced;7th-8th;Craft-repair;<=50K
36;White;Divorced;Bachelors;Prof-specialty;<=50K
45;White;Married-civ-spouse;HS-grad;Sales;<=50K
17;White;Never-married;11th;Other-service;<=50K
59;White;Married-civ-spouse;Some-college;Sales;<=50K
26;White;Married-civ-spouse;11th;Craft-repair;<=50K
33;White;Never-married;Bachelors;Prof-specialty;<=50K
17;White;Never-married;9th;Other-service;<=50K
50;White;Married-civ-spouse;Masters;Farming-fishing;<=50K
27;White;Never-married;Masters;Prof-specialty;<=50K
30;White;Divorced;HS-grad;Prof-specialty;<=50K
43;Black;Married-civ-spouse;HS-grad;Handlers-cleaners;<=50K
35;White;Never-married;Some-college;Exec-managerial;<=50K
25;White;Never-married;Some-college;Tech-support;<=50K
22;White;Never-married;Bachelors;Prof-specialty;<=50K
34;Black;Divorced;Assoc-acdm;Sales;<=50K
60;White;Divorced;Bachelors;Prof-specialty;<=50K
21;White;Never-married;HS-grad;Handlers-cleaners;<=50K
50;White;Divorced;Some-college;Other-service;<=50K
25;White;Never-married;Bachelors;Exec-managerial;<=50K
50;White;Married-civ-spouse;7th-8th;Craft-repair;<=50K
36;White;Married-civ-spouse;Bachelors;Prof-specialty;<=50K
31;White;Divorced;HS-grad;Prof-specialty;<=50K
29;White;Never-married;Bachelors;Protective-serv;<=50K
21;White;Never-married;Some-college;Sales;<=50K
27;Black;Never-married;Bachelors;Tech-support;<=50K
65;White;Married-civ-spouse;HS-grad;Transport-moving;<=50K
37;White;Divorced;Bachelors;Sales;<=50K
24;White;Never-married;HS-grad;Craft-repair;<=50K
38;White;Divorced;HS-grad;Sales;<=50K
21;Asian-Pac-Islander;Never-married;Some-college;Other-service;<=50K
24;Asian-Pac-Islander;Married-civ-spouse;Some-college;Adm-clerical;<=50K
43;White;Divorced;HS-grad;Adm-clerical;<=50K
26;White;Never-married;Assoc-acdm;Tech-support;<=50K
46;White;Never-married;Assoc-acdm;Prof-specialty;<=50K
26;White;Never-married;Bachelors;Sales;<=50K
22;White;Never-married;Some-college;Sales;<=50K
24;White;Never-married;Some-college;Machine-op-inspct;<=50K
77;White;Married-civ-spouse;Some-college;Sales;<=50K
22;White;Married-civ-spouse;5th-6th;Machine-op-inspct;<=50K
29;White;Never-married;Some-college;Tech-support;<=50K
62;White;Widowed;HS-grad;Other-service;<=50K
39;White;Married-civ-spouse;HS-grad;Exec-managerial;<=50K
43;White;Married-civ-spouse;Some-college;Craft-repair;<=50K
35;White;Divorced;HS-grad;Transport-moving;<=50K
29;White;Never-married;11th;Exec-managerial;<=50K
76;White;Married-civ-spouse;Masters;Craft-repair;<=50K
63;White;Married-civ-spouse;HS-grad;Farming-fishing;<=50K
58;White;Married-civ-spouse;HS-grad;Handlers-cleaners;<=50K
66;White;Never-married;HS-grad;Transport-moving;<=50K
41;Black;Never-married;Some-college;Craft-repair;<=50K
26;White;Never-married;Bachelors;Adm-clerical;<=50K
47;White;Never-married;Assoc-voc;Other-service;<=50K
55;White;Married-civ-spouse;10th;Adm-clerical;<=50K
53;White;Married-civ-spouse;HS-grad;Transport-moving;<=50K
17;White;Never-married;5th-6th;Other-service;<=50K
30;White;Never-married;HS-grad;Craft-repair;<=50K
49;White;Never-married;Masters;Prof-specialty;<=50K
19;Black;Never-married;HS-grad;Sales;<=50K
45;Black;Married-civ-spouse;HS-grad;Other-service;<=50K
26;White;Never-married;Assoc-acdm;Sales;<=50K
33;White;Never-married;HS-grad;Farming-fishing;<=50K
22;Black;Never-married;Some-college;Protective-serv;<=50K
43;White;Never-married;Bachelors;Sales;<=50K
56;White;Married-spouse-absent;Assoc-acdm;Other-service;<=50K
31;White;Never-married;Bachelors;Prof-specialty;<=50K
26;White;Married-civ-spouse;HS-grad;Other-service;<=50K
46;White;Married-civ-spouse;11th;Transport-moving;<=50K
65;Other;Widowed;11th;Other-service;<=50K
42;White;Married-civ-spouse;HS-grad;Adm-clerical;<=50K
26;White;Married-civ-spouse;9th;Craft-repair;<=50K
36;White;Married-civ-spouse;10th;Other-service;<=50K
43;White;Married-civ-spouse;Bachelors;Transport-moving;<=50K
22;White;Married-spouse-absent;HS-grad;Sales;<=50K
28;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
56;White;Married-civ-spouse;Some-college;Sales;<=50K
22;White;Never-married;Assoc-acdm;Sales;<=50K
39;White;Divorced;HS-grad;Sales;<=50K
26;White;Never-married;Some-college;Adm-clerical;<=50K
17;White;Never-married;11th;Other-service;<=50K
45;Black;Married-civ-spouse;HS-grad;Machine-op-inspct;<=50K
44;Black;Never-married;HS-grad;Craft-repair;<=50K
20;White;Never-married;Some-college;Adm-clerical;<=50K
33;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
23;White;Never-married;Some-college;Sales;<=50K
46;White;Divorced;Masters;Exec-managerial;<=50K
38;White;Married-civ-spouse;HS-grad;Sales;<=50K
54;White;Divorced;HS-grad;Transport-moving;<=50K
46;White;Divorced;5th-6th;Craft-repair;<=50K
25;White;Married-civ-spouse;Some-college;Craft-repair;<=50K
46;White;Divorced;Some-college;Sales;<=50K
36;White;Married-civ-spouse;Some-college;Transport-moving;<=50K
23;White;Never-married;HS-grad;Other-service;<=50K
29;White;Separated;HS-grad;Machine-op-inspct;<=50K
19;White;Never-married;Some-college;Adm-clerical;<=50K
19;White;Never-married;HS-grad;Other-service;<=50K
27;White;Never-married;Bachelors;Craft-repair;<=50K
46;White;Separated;Assoc-acdm;Craft-repair;<=50K
34;White;Never-married;HS-grad;Other-service;<=50K
44;White;Married-civ-spouse;Some-college;Tech-support;<=50K
45;White;Divorced;Some-college;Handlers-cleaners;<=50K
20;White;Never-married;Some-college;Handlers-cleaners;<=50K
28;White;Never-married;Some-college;Other-service;<=50K
34;White;Divorced;Assoc-voc;Tech-support;<=50K
28;Other;Married-civ-spouse;7th-8th;Handlers-cleaners;<=50K
28;White;Married-civ-spouse;HS-grad;Adm-clerical;<=50K
46;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
32;White;Married-civ-spouse;Some-college;Exec-managerial;<=50K
41;Black;Divorced;Some-college;Other-service;<=50K
24;Black;Never-married;HS-grad;Handlers-cleaners;<=50K
33;White;Divorced;Some-college;Exec-managerial;<=50K
31;White;Married-civ-spouse;Some-college;Machine-op-inspct;<=50K
52;White;Married-civ-spouse;1st-4th;Machine-op-inspct;<=50K
30;White;Never-married;11th;Other-service;<=50K
34;Black;Separated;11th;Machine-op-inspct;<=50K
34;White;Divorced;HS-grad;Transport-moving;<=50K
20;White;Married-civ-spouse;Some-college;Sales;<=50K
17;White;Never-married;11th;Handlers-cleaners;<=50K
29;White;Divorced;HS-grad;Farming-fishing;<=50K
33;White;Never-married;10th;Craft-repair;<=50K
25;White;Married-civ-spouse;HS-grad;Transport-moving;<=50K
36;White;Never-married;Masters;Prof-specialty;<=50K
23;White;Never-married;HS-grad;Handlers-cleaners;<=50K
47;White;Married-civ-spouse;Masters;Prof-specialty;<=50K
40;White;Married-spouse-absent;Bachelors;Prof-specialty;<=50K
27;Asian-Pac-Islander;Never-married;Some-college;Craft-repair;<=50K
34;Black;Never-married;HS-grad;Farming-fishing;<=50K
34;White;Never-married;Some-college;Protective-serv;<=50K
23;White;Married-civ-spouse;Some-college;Adm-clerical;<=50K
42;White;Married-civ-spouse;Some-college;Adm-clerical;<=50K
29;White;Never-married;Bachelors;Prof-specialty;<=50K
45;White;Divorced;HS-grad;Adm-clerical;<=50K
24;White;Never-married;HS-grad;Armed-Forces;<=50K
27;White;Never-married;9th;Craft-repair;<=50K
20;White;Never-married;Some-college;Sales;<=50K
44;Black;Widowed;HS-grad;Exec-managerial;<=50K
51;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;Craft-repair;<=50K
20;White;Married-civ-spouse;HS-grad;Machine-op-inspct;<=50K
19;Black;Never-married;HS-grad;Machine-op-inspct;<=50K
30;White;Married-civ-spouse;HS-grad;Exec-managerial;<=50K
38;Black;Married-civ-spouse;Some-college;Transport-moving;<=50K
23;White;Married-civ-spouse;HS-grad;Transport-moving;<=50K
44;White;Never-married;Assoc-acdm;Farming-fishing;<=50K
54;Black;Married-civ-spouse;HS-grad;Transport-moving;<=50K
32;White;Married-civ-spouse;Bachelors;Prof-specialty;<=50K
50;White;Married-spouse-absent;1st-4th;Craft-repair;<=50K
24;White;Never-married;Bachelors;Tech-support;<=50K
37;White;Married-civ-spouse;HS-grad;Adm-clerical;<=50K
52;White;Divorced;HS-grad;Transport-moving;<=50K
38;White;Married-civ-spouse;Some-college;Transport-moving;<=50K
35;White;Never-married;HS-grad;Craft-repair;<=50K
30;White;Never-married;HS-grad;Transport-moving;<=50K
67;White;Divorced;Assoc-voc;Other-service;<=50K
46;White;Never-married;Bachelors;Craft-repair;<=50K
17;White;Never-married;9th;Other-service;<=50K
22;White;Never-married;Some-college;Handlers-cleaners;<=50K
27;White;Never-married;10th;Other-service;<=50K
23;White;Never-married;HS-grad;Other-service;<=50K
33;White;Married-civ-spouse;Assoc-acdm;Craft-repair;<=50K
43;White;Married-civ-spouse;Some-college;Craft-repair;<=50K
28;White;Never-married;Bachelors;Prof-specialty;<=50K
41;White;Married-spouse-absent;HS-grad;Craft-repair;<=50K
25;Black;Married-spouse-absent;Some-college;Adm-clerical;<=50K
59;White;Married-civ-spouse;HS-grad;Transport-moving;<=50K
45;White;Divorced;Bachelors;Prof-specialty;<=50K
40;White;Never-married;HS-grad;Other-service;<=50K
46;White;Divorced;HS-grad;Adm-clerical;<=50K
35;White;Never-married;Assoc-acdm;Exec-managerial;<=50K
34;White;Divorced;HS-grad;Prof-specialty;<=50K
33;White;Never-married;Bachelors;Craft-repair;<=50K
41;White;Divorced;HS-grad;Adm-clerical;<=50K
20;White;Never-married;Some-college;Machine-op-inspct;<=50K
23;White;Never-married;5th-6th;Other-service;<=50K
26;White;Never-married;Some-college;Prof-specialty;<=50K
23;White;Never-married;HS-grad;Farming-fishing;<=50K
62;White;Married-civ-spouse;HS-grad;Transport-moving;<=50K
52;White;Married-civ-spouse;Some-college;Adm-clerical;<=50K
58;White;Divorced;Some-college;Other-service;<=50K
25;White;Never-married;Bachelors;Sales;<=50K
24;Black;Never-married;Bachelors;Exec-managerial;<=50K
19;White;Never-married;Some-college;Protective-serv;<=50K
43;White;Married-civ-spouse;Some-college;Exec-managerial;<=50K
47;Black;Separated;HS-grad;Adm-clerical;<=50K
39;White;Divorced;HS-grad;Other-service;<=50K
49;White;Married-spouse-absent;Assoc-voc;Handlers-cleaners;<=50K
32;White;Never-married;Assoc-voc;Craft-repair;<=50K
28;White;Divorced;HS-grad;Craft-repair;<=50K
25;Amer-Indian-Eskimo;Never-married;Some-college;Adm-clerical;<=50K
24;Black;Divorced;Some-college;Handlers-cleaners;<=50K
28;White;Married-civ-spouse;Some-college;Sales;<=50K
74;White;Divorced;Some-college;Adm-clerical;<=50K
38;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
44;White;Married-civ-spouse;Masters;Prof-specialty;<=50K
44;Other;Divorced;11th;Machine-op-inspct;<=50K
26;White;Never-married;HS-grad;Machine-op-inspct;<=50K
36;Black;Married-civ-spouse;HS-grad;Other-service;<=50K
39;White;Married-civ-spouse;12th;Tech-support;<=50K
57;Black;Widowed;1st-4th;Priv-house-serv;<=50K
29;White;Separated;Assoc-voc;Craft-repair;<=50K
31;White;Never-married;Bachelors;Farming-fishing;<=50K
44;White;Married-civ-spouse;Some-college;Transport-moving;<=50K
29;White;Never-married;Doctorate;Prof-specialty;<=50K
30;White;Never-married;Some-college;Handlers-cleaners;<=50K
27;White;Never-married;HS-grad;Transport-moving;<=50K
27;White;Married-civ-spouse;Some-college;Sales;<=50K
32;White;Never-married;HS-grad;Handlers-cleaners;<=50K
58;White;Married-civ-spouse;10th;Other-service;<=50K
35;White;Married-civ-spouse;Some-college;Protective-serv;<=50K
21;White;Never-married;HS-grad;Handlers-cleaners;<=50K
28;White;Never-married;Some-college;Craft-repair;<=50K
46;White;Divorced;Some-college;Exec-managerial;<=50K
36;White;Separated;HS-grad;Other-service;<=50K
72;White;Widowed;11th;Adm-clerical;<=50K
35;Black;Married-civ-spouse;HS-grad;Machine-op-inspct;<=50K
69;White;Never-married;11th;Machine-op-inspct;<=50K
35;White;Married-civ-spouse;HS-grad;Machine-op-inspct;<=50K
34;White;Married-civ-spouse;HS-grad;Tech-support;<=50K
30;White;Married-civ-spouse;11th;Other-service;<=50K
28;White;Never-married;Bachelors;Transport-moving;<=50K
24;Black;Never-married;HS-grad;Handlers-cleaners;<=50K
20;Amer-Indian-Eskimo;Never-married;HS-grad;Handlers-cleaners;<=50K
43;White;Married-civ-spouse;Masters;Exec-managerial;<=50K
45;White;Separated;7th-8th;Other-service;<=50K
29;White;Separated;HS-grad;Craft-repair;<=50K
47;White;Divorced;Masters;Exec-managerial;<=50K
24;White;Never-married;HS-grad;Craft-repair;<=50K
51;White;Married-civ-spouse;HS-grad;Prof-specialty;<=50K
17;White;Never-married;11th;Sales;<=50K
27;White;Never-married;Doctorate;Prof-specialty;<=50K
36;White;Divorced;Assoc-acdm;Sales;<=50K
58;White;Never-married;Bachelors;Prof-specialty;<=50K
26;White;Married-civ-spouse;Some-college;Craft-repair;<=50K
59;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
27;White;Married-civ-spouse;HS-grad;Machine-op-inspct;<=50K
31;White;Never-married;Bachelors;Tech-support;<=50K
21;White;Never-married;Some-college;Sales;<=50K
29;White;Never-married;Some-college;Adm-clerical;<=50K
18;White;Never-married;11th;Other-service;<=50K
57;White;Divorced;Bachelors;Prof-specialty;<=50K
23;White;Never-married;Bachelors;Adm-clerical;<=50K
27;White;Never-married;HS-grad;Sales;<=50K
25;White;Never-married;Some-college;Tech-support;<=50K
49;White;Never-married;Bachelors;Prof-specialty;<=50K
32;White;Never-married;Bachelors;Tech-support;<=50K
19;White;Never-married;Some-college;Adm-clerical;<=50K
60;White;Divorced;7th-8th;Other-service;<=50K
42;White;Married-civ-spouse;9th;Other-service;<=50K
35;White;Never-married;Assoc-acdm;Farming-fishing;<=50K
48;Black;Never-married;HS-grad;Adm-clerical;<=50K
29;Amer-Indian-Eskimo;Never-married;HS-grad;Craft-repair;<=50K
36;Black;Separated;HS-grad;Exec-managerial;<=50K
17;White;Never-married;10th;Other-service;<=50K
52;White;Divorced;Masters;Prof-specialty;<=50K
24;White;Never-married;HS-grad;Craft-repair;<=50K
24;White;Married-civ-spouse;HS-grad;Handlers-cleaners;<=50K
26;White;Never-married;Bachelors;Prof-specialty;<=50K
27;White;Never-married;Bachelors;Other-service;<=50K
39;White;Never-married;HS-grad;Handlers-cleaners;<=50K
30;Black;Married-civ-spouse;HS-grad;Transport-moving;<=50K
50;White;Married-civ-spouse;HS-grad;Exec-managerial;<=50K
52;White;Married-civ-spouse;Bachelors;Sales;<=50K
23;White;Never-married;Bachelors;Sales;<=50K
45;Black;Widowed;11th;Other-service;<=50K
65;Black;Widowed;9th;Priv-house-serv;<=50K
29;White;Married-civ-spouse;Assoc-voc;Transport-moving;<=50K
47;White;Married-spouse-absent;9th;Handlers-cleaners;<=50K
30;Black;Never-married;HS-grad;Farming-fishing;<=50K
38;White;Married-civ-spouse;HS-grad;Sales;<=50K
47;Black;Never-married;Some-college;Other-service;<=50K
49;Black;Separated;10th;Other-service;<=50K
58;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
19;White;Never-married;HS-grad;Other-service;<=50K
21;White;Never-married;Bachelors;Handlers-cleaners;<=50K
47;White;Married-civ-spouse;5th-6th;Transport-moving;<=50K
26;White;Divorced;HS-grad;Craft-repair;<=50K
60;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
21;White;Never-married;Some-college;Handlers-cleaners;<=50K
31;White;Married-civ-spouse;Some-college;Craft-repair;<=50K
31;White;Divorced;HS-grad;Adm-clerical;<=50K
71;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
20;White;Never-married;Some-college;Other-service;<=50K
24;White;Never-married;HS-grad;Exec-managerial;<=50K
38;White;Separated;Some-college;Exec-managerial;<=50K
27;White;Never-married;HS-grad;Machine-op-inspct;<=50K
29;Asian-Pac-Islander;Never-married;Some-college;Adm-clerical;<=50K
34;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
44;White;Married-civ-spouse;7th-8th;Craft-repair;<=50K
35;White;Never-married;Masters;Sales;<=50K
27;White;Never-married;Some-college;Prof-specialty;<=50K
43;White;Never-married;Masters;Prof-specialty;<=50K
20;White;Never-married;Some-college;Sales;<=50K
27;White;Married-civ-spouse;Some-college;Transport-moving;<=50K
24;White;Never-married;9th;Machine-op-inspct;<=50K
48;White;Divorced;Some-college;Exec-managerial;<=50K
17;White;Never-married;11th;Farming-fishing;<=50K
22;White;Never-married;HS-grad;Sales;<=50K
17;White;Never-married;12th;Other-service;<=50K
32;White;Married-civ-spouse;Some-college;Adm-clerical;<=50K
31;White;Never-married;HS-grad;Craft-repair;<=50K
58;White;Widowed;HS-grad;Exec-managerial;<=50K
29;White;Never-married;HS-grad;Protective-serv;<=50K
23;Black;Separated;Some-college;Exec-managerial;<=50K
18;White;Never-married;11th;Adm-clerical;<=50K
